NV分区信息,key,type,encoding,value,备注
AMT,SN,,,,
,MAC,,,00:91:19:10:22:21,
,AmtPinFlag,,,,
,AmtPSMFlag,,,,
,AmtWiFiFlag,,,,
,AmtUpdateFlag,,,,
,AmtSNFlag,,,,
,AmtMACFlag,,,,
,AmtWiFiCalibrate,,,,20190910：取消此项
,AmtFreqOffsetFlag,2字符,,,20190910：增加此项，1：AmtFreqOffset有效
,AmtFreqOffset,8字符,,,20190910：增加此项，内容用于写入reg
,AmtTxPowerFlag,2字符,,,20190910：增加此项，1：以下TxPower相关值有效
,AmtTxPowerHTCh1,8字符,,,20190910：增加此项
,AmtTxPowerHTCh6,8字符,,,20190910：增加此项
,AmtTxPowerHTCh11,8字符,,,20190910：增加此项
,AmtTxPowerHTCh3,8字符,,,20190910：增加此项
,AmtTxPowerHTCh8,8字符,,,20190910：增加此项
,AmtTxPowerNonHTCh1,8字符,,,20190910：增加此项
,AmtTxPowerNonHTCh6,8字符,,,20190910：增加此项
,AmtTxPowerNonHTCh11,8字符,,,20190910：增加此项
,AmtTxPower11BCh1,8字符,,,20190910：增加此项
,AmtTxPower11BCh6,8字符,,,20190910：增加此项
,AmtTxPower11BCh11,8字符,,,20190910：增加此项
,AMT_NV_CALIBRATION,2字符,,,20191029：增加此项，1：使用amt校准nv信息；0：不使用
